x0,x1,y,type
0.6657995800131589,0.12396912767534907,0.5389961189269181,initial
0.8777909889953304,0.7786275008473289,0.42058623962798264,initial
0.14269907423594608,0.34900513057320015,-0.06562362443733738,initial
0.8452754286767249,0.7111202665952655,0.293992912410866,initial
0.45464714105124415,0.2904551797740609,0.2149645101004509,initial
0.5777128444074784,0.7719731841154063,0.023105549798190586,initial
0.4381660616117107,0.6850182567997548,0.24461934400448035,initial
0.34174959302885033,0.028697719822277867,0.0387490151561584,initial
0.33864815688701766,0.21386724563864368,-0.013857618149729824,initial
0.7026365569244406,0.9265641975455574,0.6112052157614438,initial
0.809619,0.965932,0.1473342401317949,query_1
0.725777,0.126217,0.5235535491312246,query_2
0.665003,0.946199,0.5294684278627806,query_3
0.694068,0.011479,0.6173405859285875,query_4
0.97041,0.0,0.04589960785948988,query_5
0.693764,0.48701,0.4977548146140809,query_6
0.729211,0.847318,0.5688597262356145,query_7
0.639988,0.032377,0.34224368937922023,query_8
0.767565,0.005443,0.29826749616684234,query_9
0.696202,0.889319,0.7253136879811203,query_10
