x0,x1,x2,x3,x4,y,type
0.7281861047460138,0.1546925696237983,0.7325516687239811,0.6939965090690888,0.056401310518258585,-0.7142649478202404,initial
0.24238434723790758,0.8440999723462298,0.5778090988182423,0.6790212842838805,0.5019528879463457,-1.2099552446764819,initial
0.7295226100931684,0.7481062003003915,0.6797746408949024,0.3565522793389573,0.6710536834597941,-1.6721999396105658,initial
0.770620241725545,0.11440374416322774,0.0467799318531783,0.6483242845395736,0.2735490526883131,-1.5360577085694833,initial
0.6188122987341569,0.33180213718420826,0.18728786777392725,0.756238474019041,0.3288347983365967,-0.8292365522578722,initial
0.7849580941321159,0.9106823491056887,0.7081201035127033,0.9592254289504146,0.004911495864404647,-1.2470489267904978,initial
0.14511078573766278,0.8966845977360148,0.8963222346125226,0.7262715366744776,0.23627199091209328,-1.2337863805718483,initial
0.9450690681186655,0.28845905059517574,0.9788057635601997,0.9616555869902994,0.5980159363909763,-1.6943434420704928,initial
0.12572015503019873,0.8627246921598651,0.028544332231059788,0.24660527193052817,0.7512062409044311,-2.5711696316081234,initial
0.7575943553544202,0.35583141491553005,0.01652289968556364,0.43420720498662724,0.1124330443582503,-1.309116352823696,initial
0.5367969034860786,0.30878090723949325,0.41187928506492233,0.388225176718074,0.5225283039122706,-1.1447848512705794,initial
0.9577396688833609,0.23566857232470817,0.09914584955722228,0.1568059338564619,0.07131737310621111,-1.9126771431925136,initial
0.6293078953337721,0.803483678101385,0.8114084389735914,0.045613185779449616,0.11062446198967957,-1.622838951777173,initial
0.021735307663796388,0.42808424031907244,0.8359394371193622,0.48948865944643416,0.511081734720247,-1.3566821093823407,initial
0.4393442638884286,0.6989238329035616,0.4268202222118266,0.10947608505219697,0.8778884681100685,-2.018425399374782,initial
0.2589055738489062,0.7936777082611537,0.6421139049230902,0.19667346401384578,0.593103176750458,-1.7025578405650035,initial
0.4321659328846983,0.7156178127534056,0.3418191030223866,0.7049998807959096,0.6149618447218453,-1.2942469649550403,initial
0.7828798232609253,0.5363358585071114,0.4432835567472584,0.8596998258165416,0.010325990675527863,-0.9357565553342914,initial
0.9217761980413874,0.9318712161635005,0.41487636976457365,0.5950572655783101,0.7356256864317131,-2.1557677641786004,initial
0.12667891706137568,0.29147030149847064,0.06452847667069161,0.6805146028541535,0.892819191058788,-1.7468820870493065,initial
0.195374,0.595929,0.008212,0.998386,0.271716,-1.5053005928368628,query_1
0.344636,0.037317,0.995367,0.92387,0.005558,-0.9415230421127248,query_2
0.473579,0.319871,0.563692,0.743277,0.101298,-0.16932537129349284,query_3
0.334963,0.276154,0.477135,0.666896,0.0,-0.505390881683565,query_4
0.416989,0.332928,0.594735,0.861136,0.188245,-0.26931879653379115,query_5
0.462936,0.409613,0.630263,0.712044,0.156912,-0.21979104353667636,query_6
0.490152,0.325665,0.548273,0.728728,0.18456,-0.3390023346211244,query_7
0.43137,0.40864,0.660765,0.792481,0.073062,-0.0777033841792332,query_8
0.433711,0.419319,0.71082,0.8557,0.0,-0.2883046357939955,query_9
0.421208,0.422422,0.764263,0.657963,0.020935,-0.334984476576812,query_10
